INDICATOR;PANEL;PANEL_NUM;UNIT;UNIT_NUM;STUB_NAME;STUB_NAME_NUM;STUB_LABEL;STUB_LABEL_NUM;YEAR;YEAR_NUM;AGE;AGE_NUM;ESTIMATE;SE;FLAG
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Total;0;All persons;0.1;1997;1;All ages;0.1;8.3;0.1;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Total;0;All persons;0.1;1998;2;All ages;0.1;7.4;0.1;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Total;0;All persons;0.1;1999;3;All ages;0.1;7.3;0.1;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Total;0;All persons;0.1;2000;4;All ages;0.1;7.4;0.1;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Total;0;All persons;0.1;2001;5;All ages;0.1;7.6;0.1;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Total;0;All persons;0.1;2002;6;All ages;0.1;7.6;0.1;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Total;0;All persons;0.1;2003;7;All ages;0.1;8.3;0.1;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Total;0;All persons;0.1;2004;8;All ages;0.1;8.8;0.1;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Total;0;All persons;0.1;2005;9;All ages;0.1;8.5;0.1;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Total;0;All persons;0.1;2006;10;All ages;0.1;9.1;0.2;
Delay or nonreceipt of needed medical care, nonreceipt of needed prescription drugs, or nonreceipt of needed dental care during the past 12 months due to cost;Delay or nonreceipt of needed medical care due to cost;1;Percent, crude;1;Total;0;All persons;0.1;2007;11;All ages;0.1;9.0;0.2;
