"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Age in Years","Year","Deaths","Population","Crude Rate"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","0","2020","515","1389104","37.07"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","0","","515","1389104","37.07"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","0","2020","339","341843","99.17"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","0","","339","341843","99.17"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","0","2020","22","41947","52.45"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","0","","22","41947","52.45"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","0","2020","20","135247","14.79"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","0","","20","135247","14.79"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","0","2020","378","1329744","28.43"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","0","","378","1329744","28.43"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","0","2020","243","328120","74.06"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","0","","243","328120","74.06"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","0","2020","19","40525","46.88"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","0","","19","40525","46.88"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","0","2020","11","128480","8.56"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","0","","11","128480","8.56"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","1","2020","189","1402071","13.48"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","1","","189","1402071","13.48"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","1","2020","96","343416","27.95"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","1","","96","343416","27.95"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","1","2020","13","42198","30.81"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","1","","13","42198","30.81"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","1","2020","8","138969","5.76"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","1","","8","138969","5.76"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","1","2020","137","1342329","10.21"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","1","","137","1342329","10.21"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","1","2020","66","332652","19.84"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","1","","66","332652","19.84"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","1","2020","3","40773","7.36"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","1","","3","40773","7.36"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","1","2020","5","131476","3.8"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","1","","5","131476","3.8"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","2","2020","189","1430366","13.21"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","2","","189","1430366","13.21"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","2","2020","86","349766","24.59"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","2","","86","349766","24.59"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","2","2020","4","42786","9.35"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","2","","4","42786","9.35"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","2","2020","4","145627","2.75"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","2","","4","145627","2.75"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","2","2020","95","1367771","6.95"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","2","","95","1367771","6.95"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","2","2020","46","338841","13.58"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","2","","46","338841","13.58"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","2","2020","5","40862","12.24"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","2","","5","40862","12.24"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","2","2020","6","137006","4.38"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","2","","6","137006","4.38"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","3","2020","147","1460916","10.06"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","3","","147","1460916","10.06"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","3","2020","63","349099","18.05"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","3","","63","349099","18.05"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","3","2020","4","41976","9.53"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","3","","4","41976","9.53"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","3","2020","10","152844","6.54"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","3","","10","152844","6.54"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","3","2020","81","1394367","5.81"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","3","","81","1394367","5.81"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","3","2020","44","337882","13.02"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","3","","44","337882","13.02"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","3","2020","3","40999","7.32"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","3","","3","40999","7.32"
