"Sex","Race/Ethnicity","First Year","Last Year","Cause of Injury","Disp","ageRangLo","ageRangHi","Age in Years","Year","Injuries","Population","records","suppressed","cv","Number of$Cases (Sample)","Standard$Error","CV","Lower 95%$Confidence$Limit","Upper 95%$Confidence$Limit","ageadj"
"B","A","2020","2020","Overall All Injury Causes","All Cases","0","199","0","2020","157372","3,735,010","6279",".","0.139","6279","21808","13.9","114629","200116","."
"B","W","2020","2020","Overall All Injury Causes","All Cases","0","199","0","2020","72367","1,903,154","2227",".","0.167","2227","12083","16.7","48685","96048","."
"B","B","2020","2020","Overall All Injury Causes","All Cases","0","199","0","2020","20849","669,963","1433",".","0.244","1433","5078","24.4","10895","30802","."
"B","H","2020","2020","Overall All Injury Causes","All Cases","0","199","0","2020",".","890,264",".","1",".",".",".",".",".",".","."
"B","O","2020","2020","Overall All Injury Causes","All Cases","0","199","0","2020","8749","271,629","436",".","0.222","436","1939","22.2","4949","12549","."
"B","N","2020","2020","Overall All Injury Causes","All Cases","0","199","0","2020",".",".",".","1",".",".",".",".",".",".","."
"M","A","2020","2020","Overall All Injury Causes","All Cases","0","199","0","2020","85785","1,908,141","3451",".","0.143","3451","12300","14.3","61677","109894","."
"M","W","2020","2020","Overall All Injury Causes","All Cases","0","199","0","2020","39845","973,421","1229",".","0.18","1229","7157","18","25818","53872","."
"M","B","2020","2020","Overall All Injury Causes","All Cases","0","199","0","2020","11507","341,843","785",".","0.262","785","3013","26.2","5602","17413","."
"M","H","2020","2020","Overall All Injury Causes","All Cases","0","199","0","2020",".","453,727",".","1",".",".",".",".",".",".","."
"M","O","2020","2020","Overall All Injury Causes","All Cases","0","199","0","2020","4522","139,150","254",".","0.212","254","959","21.2","2642","6403","."
"M","N","2020","2020","Overall All Injury Causes","All Cases","0","199","0","2020",".",".",".","1",".",".",".",".",".",".","."
"F","A","2020","2020","Overall All Injury Causes","All Cases","0","199","0","2020","71587","1,826,869","2828",".","0.137","2828","9830","13.7","52321","90854","."
"F","W","2020","2020","Overall All Injury Causes","All Cases","0","199","0","2020","32521","929,733","998",".","0.16","998","5201","16","22328","42715","."
"F","B","2020","2020","Overall All Injury Causes","All Cases","0","199","0","2020","9341","328,120","648",".","0.224","648","2092","22.4","5241","13442","."
"F","H","2020","2020","Overall All Injury Causes","All Cases","0","199","0","2020",".","436,537",".","1",".",".",".",".",".",".","."
"F","O","2020","2020","Overall All Injury Causes","All Cases","0","199","0","2020","4227","132,479","182",".","0.272","182","1150","27.2","1973","6481","."
"F","N","2020","2020","Overall All Injury Causes","All Cases","0","199","0","2020",".",".",".","1",".",".",".",".",".",".","."
"B","A","2020","2020","Overall All Injury Causes","All Cases","0","199","1","2020","311591","3,773,884","11482",".","0.121","11482","37838","12.1","237429","385753","."
"B","W","2020","2020","Overall All Injury Causes","All Cases","0","199","1","2020","157316","1,915,220","4525",".","0.149","4525","23458","14.9","111337","203294","."
"B","B","2020","2020","Overall All Injury Causes","All Cases","0","199","1","2020","41759","676,068","2493",".","0.189","2493","7892","18.9","26290","57227","."
"B","H","2020","2020","Overall All Injury Causes","All Cases","0","199","1","2020",".","904,464",".","1",".",".",".",".",".",".","."
"B","O","2020","2020","Overall All Injury Causes","All Cases","0","199","1","2020","13636","278,132","761",".","0.197","761","2684","19.7","8376","18895","."
"B","N","2020","2020","Overall All Injury Causes","All Cases","0","199","1","2020",".",".",".","1",".",".",".",".",".",".","."
"M","A","2020","2020","Overall All Injury Causes","All Cases","0","199","1","2020","171169","1,926,654","6293",".","0.122","6293","20853","12.2","130297","212041","."
"M","W","2020","2020","Overall All Injury Causes","All Cases","0","199","1","2020","87885","980,743","2508",".","0.155","2508","13649","15.5","61132","114638","."
"M","B","2020","2020","Overall All Injury Causes","All Cases","0","199","1","2020","22903","343,416","1380",".","0.177","1380","4054","17.7","14957","30849","."
"M","H","2020","2020","Overall All Injury Causes","All Cases","0","199","1","2020",".","459,784",".","1",".",".",".",".",".",".","."
"M","O","2020","2020","Overall All Injury Causes","All Cases","0","199","1","2020","7000","142,711","393",".","0.217","393","1516","21.7","4029","9970","."
"M","N","2020","2020","Overall All Injury Causes","All Cases","0","199","1","2020",".",".",".","1",".",".",".",".",".",".","."
"F","A","2020","2020","Overall All Injury Causes","All Cases","0","199","1","2020","140422","1,847,230","5189",".","0.123","5189","17298","12.3","106518","174326","."
"F","W","2020","2020","Overall All Injury Causes","All Cases","0","199","1","2020","69431","934,477","2017",".","0.145","2017","10077","14.5","49680","89182","."
"F","B","2020","2020","Overall All Injury Causes","All Cases","0","199","1","2020","18856","332,652","1113",".","0.209","1113","3932","20.9","11150","26561","."
"F","H","2020","2020","Overall All Injury Causes","All Cases","0","199","1","2020",".","444,680",".","1",".",".",".",".",".",".","."
"F","O","2020","2020","Overall All Injury Causes","All Cases","0","199","1","2020","6636","135,421","368",".","0.194","368","1285","19.4","4117","9155","."
"F","N","2020","2020","Overall All Injury Causes","All Cases","0","199","1","2020",".",".",".","1",".",".",".",".",".",".","."
"B","A","2020","2020","Overall All Injury Causes","All Cases","0","199","2","2020","310308","3,853,025","10917",".","0.11","10917","34010","11","243649","376967","."
"B","W","2020","2020","Overall All Injury Causes","All Cases","0","199","2","2020","163116","1,957,062","4429",".","0.134","4429","21841","13.4","120306","205925","."
"B","B","2020","2020","Overall All Injury Causes","All Cases","0","199","2","2020","38497","688,607","2290",".","0.214","2290","8229","21.4","22368","54627","."
"B","H","2020","2020","Overall All Injury Causes","All Cases","0","199","2","2020",".","916,740",".","1",".",".",".",".",".",".","."
"B","O","2020","2020","Overall All Injury Causes","All Cases","0","199","2","2020","13220","290,616","773",".","0.203","773","2687","20.3","7953","18488","."
"B","N","2020","2020","Overall All Injury Causes","All Cases","0","199","2","2020",".",".",".","1",".",".",".",".",".",".","."
"M","A","2020","2020","Overall All Injury Causes","All Cases","0","199","2","2020","173404","1,968,545","6080",".","0.111","6080","19171","11.1","135829","210979","."
"M","W","2020","2020","Overall All Injury Causes","All Cases","0","199","2","2020","91150","1,002,634","2466",".","0.133","2466","12093","13.3","67448","114852","."
"M","B","2020","2020","Overall All Injury Causes","All Cases","0","199","2","2020","20153","349,766","1231",".","0.218","1231","4393","21.8","11544","28763","."
"M","H","2020","2020","Overall All Injury Causes","All Cases","0","199","2","2020",".","466,523",".","1",".",".",".",".",".",".","."
"M","O","2020","2020","Overall All Injury Causes","All Cases","0","199","2","2020","7166","149,622","407",".","0.228","407","1634","22.8","3964","10368","."
"M","N","2020","2020","Overall All Injury Causes","All Cases","0","199","2","2020",".",".",".","1",".",".",".",".",".",".","."
"F","A","2020","2020","Overall All Injury Causes","All Cases","0","199","2","2020","136904","1,884,480","4837",".","0.111","4837","15242","11.1","107029","166779","."
"F","W","2020","2020","Overall All Injury Causes","All Cases","0","199","2","2020","71966","954,428","1963",".","0.142","1963","10211","14.2","51953","91978","."
"F","B","2020","2020","Overall All Injury Causes","All Cases","0","199","2","2020","18344","338,841","1059",".","0.214","1059","3921","21.4","10659","26030","."
"F","H","2020","2020","Overall All Injury Causes","All Cases","0","199","2","2020",".","450,217",".","1",".",".",".",".",".",".","."
